Cmdline: /system/bin/simpleperf record --app com.ps2x.runner --add-meta-info app_type=profileable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -g --duration 30
Arch: arm64
Event: cpu-cycles (type 0, config 0x0, config1 0x0, config2: 0x0)
Samples: 37482
Event count: 11847742602

Overhead  Command          Shared Object                                                                                                                 Symbol
0.09%     GsWorker         /data/app/~~Hd1ne0JtfXtklWMy69PwAw==/com.ps2x.runner-uOg1LE2w5bsMaJZjY37MtQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so    std::__ndk1::recursive_mutex::unlock()
0.08%     GsWorker         /data/app/~~Hd1ne0JtfXtklWMy69PwAw==/com.ps2x.runner-uOg1LE2w5bsMaJZjY37MtQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so    ParallelGS::PageTracker::register_short_term_cached_texture(ParallelGS::PageRect const*, unsigned int, unsigned long)
0.08%     GsWorker         /data/app/~~Hd1ne0JtfXtklWMy69PwAw==/com.ps2x.runner-uOg1LE2w5bsMaJZjY37MtQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so    ParallelGS::PageTracker::invalidate_cached_textures(std::__ndk1::vector<ParallelGS::CachedTextureMasked, std::__ndk1::allocator<ParallelGS::CachedTextureMasked>>&, unsigned int, unsigned int, unsigned int)
0.08%     com.ps2x.runner  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                scudo::HybridMutex::tryLock()
0.08%     GsWorker         /data/app/~~Hd1ne0JtfXtklWMy69PwAw==/com.ps2x.runner-uOg1LE2w5bsMaJZjY37MtQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so    void ParallelGS::GSInterface::drawing_kick_append<false, true, false, 3u>()
0.08%     com.ps2x.runner  [kernel.kallsyms]                                                                                                             [kernel.kallsyms][+ffffffe760855968]
0.08%     GsWorker         /data/app/~~Hd1ne0JtfXtklWMy69PwAw==/com.ps2x.runner-uOg1LE2w5bsMaJZjY37MtQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so    ParallelGS::GSInterface::flush(unsigned int, ParallelGS::FlushReason)
0.08%     GsWorker         /data/app/~~Hd1ne0JtfXtklWMy69PwAw==/com.ps2x.runner-uOg1LE2w5bsMaJZjY37MtQ==/base.apk!/lib/arm64-v8a/libvulkan_freedreno.so  libvulkan_freedreno.so[+9b5f7c]
0.08%     com.ps2x.runner  [kernel.kallsyms]                                                                                                             [kernel.kallsyms][+ffffffe760d91818]
0.08%     GsWorker         /data/app/~~Hd1ne0JtfXtklWMy69PwAw==/com.ps2x.runner-uOg1LE2w5bsMaJZjY37MtQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so    void ParallelGS::GSInterface::drawing_kick_append<true, false, true, 2u>()
0.07%     com.ps2x.runner  [kernel.kallsyms]                                                                                                             [kernel.kallsyms][+ffffffe760a2784c]
0.07%     GsWorker         /data/app/~~Hd1ne0JtfXtklWMy69PwAw==/com.ps2x.runner-uOg1LE2w5bsMaJZjY37MtQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so    ParallelGS::GSRenderer::emit_copy_vram(Vulkan::CommandBuffer&, unsigned int const*, unsigned int, bool)
0.07%     GsWorker         [kernel.kallsyms]                                                                                                             [kernel.kallsyms][+ffffffe761a8e614]
0.07%     com.ps2x.runner  [kernel.kallsyms]                                                                                                             [kernel.kallsyms][+ffffffe760d625bc]
0.07%     GsWorker         /data/app/~~Hd1ne0JtfXtklWMy69PwAw==/com.ps2x.runner-uOg1LE2w5bsMaJZjY37MtQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so    void ParallelGS::vram_upload<0u>(void*, void const*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)
0.07%     com.ps2x.runner  /vendor/lib64/egl/libGLESv2_adreno.so                                                                                         !!!0000!d0051afa8fb0bb02a68e169738355f!a9ee82cd83!
0.07%     GsWorker         [kernel.kallsyms]                                                                                                             [kernel.kallsyms][+ffffffe760d2cbf8]
0.07%     com.ps2x.runner  [kernel.kallsyms]                                                                                                             [kernel.kallsyms][+ffffffe760be4d3c]
0.07%     com.ps2x.runner  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                scudo::Allocator<scudo::AndroidNormalConfig, &scudo_malloc_postinit>::allocate(unsigned long, scudo::Chunk::Origin, unsigned long, bool)
