A: 123 vq samples armed=True  (/Users/brad/dev/ssx3-work/GB3-run/boot-gb3b-1.log)
B: 165 vq samples armed=True  (/Users/brad/dev/ssx3-work/GB3-run/boot-gb3d-1.log)
matched ticks: 123 (gate 26, extra 97)

| tick | vram A/B | regs A/B | pres A/B | sub A/B | priv A/B | pw×ph A/B | verdict |
| 4950 | 28b57afc/aad09d12 | 7f39daf7/7aa8aa57 | c365cd05/3e39d32e | 1323396/894005 | 31407/28590 | 512x448/512x448 | MISMATCH (extra) |
| 5000 | 46febae1/99f5ecfa | dbe055d/8d1853bd | d5d2ebf9/f58cb898 | 1364196/911603 | 31817/28850 | 512x448/512x448 | MISMATCH (extra) |
| 5050 | 72af953f/b713c449 | 448d6123/e2eccfc3 | 51a570fa/3928760 | 1406016/928782 | 32236/29105 | 512x448/512x448 | MISMATCH (extra) |
| 5100 | e7e30e5/4f692f18 | 2f857579/2f857579 | 2d750a48/d076785f | 1446817/946380 | 32651/29365 | 512x448/512x448 | MISMATCH (extra) |
| 5150 | e0863e77/4bdd4fa6 | 9db3910e/9922606e | 7c831ba0/10d6269c | 1488636/963559 | 33065/29620 | 512x448/512x448 | MISMATCH (extra) |
| 5200 | e9df6d30/463b7e57 | 2314c908/2314c908 | a15fd681/8bbb198a | 1529437/981157 | 33480/29880 | 512x448/512x448 | MISMATCH (extra) |
| 5250 | f03c8ff6/826ef675 | 18d9fbd2/98344a32 | 3b6b7efd/db50966a | 1571256/998336 | 33894/30135 | 512x448/512x448 | MISMATCH (extra) |
| 5300 | 9c8e54c3/c06a3d93 | a6ada89c/450d173c | f56b6ac9/40e8c650 | 1613076/1015516 | 34313/30395 | 512x448/512x448 | MISMATCH (extra) |
| 5350 | f14a37cf/988fe8d4 | 8f2105b6/2d807456 | d5f6f573/60a3f662 | 1653876/1033113 | 34723/30650 | 512x448/512x448 | MISMATCH (extra) |
| 5400 | d1073dde/8f6127c9 | ccb02b8b/c81efaeb | abbd7856/42b9b02d | 1695696/1050711 | 35142/30910 | 512x448/512x448 | MISMATCH (extra) |
| 5450 | 6bc0cdb2/61cfd5db | b37d39b5/b37d39b5 | 7430b197/7fa27881 | 1736497/1067890 | 35557/31165 | 512x448/512x448 | MISMATCH (extra) |
| 5500 | bf31f701/d943acd5 | 45e2171f/605606bf | d5905705/2d644b7c | 1778316/1085488 | 35971/31425 | 512x448/512x448 | MISMATCH (extra) |
| 5550 | a3c6fb64/7716e869 | 3a00faf9/d8606999 | 5d5741eb/d7d978b6 | 1820136/1102667 | 36390/31680 | 512x448/512x448 | MISMATCH (extra) |
| 5600 | 3237009c/42e85108 | b847dcd3/56a74b73 | af79adfc/cc8872d5 | 1860936/1120265 | 36800/31940 | 512x448/512x448 | MISMATCH (extra) |
| 5650 | a026321/620a0524 | 4cdb53ac/484a230c | fe67da91/b215f95f | 1902756/1137444 | 37219/32195 | 512x448/512x448 | MISMATCH (extra) |
| 5700 | 43f8cb93/597d98a0 | 9973f962/94e2c8c2 | 1f8a1fe/bf6993a3 | 1943556/1155042 | 37629/32455 | 512x448/512x448 | MISMATCH (extra) |
| 5750 | 9b668c1a/d0dd2b9e | cecde450/e941d3f0 | 7f6bca5b/bd7897e9 | 1985376/1172221 | 38048/32710 | 512x448/512x448 | MISMATCH (extra) |
| 5800 | 98703dca/10950531 | 5d520eb6/fbb17d56 | 30fd9900/994d26b5 | 2027196/1189819 | 38467/32970 | 512x448/512x448 | MISMATCH (extra) |
| 5850 | 35afc478/435d8861 | d3a11bd4/52fb6a34 | 29f88752/a73a73f9 | 2067996/1206998 | 38877/33225 | 512x448/512x448 | MISMATCH (extra) |
| 5900 | e1731bef/bb265d35 | 4453eea5/3fc2be05 | 128fb3ef/e1b2fc8d | 2109816/1224596 | 39296/33485 | 512x448/512x448 | MISMATCH (extra) |
| 5950 | 3911d107/59240345 | 88764273/88764273 | 132c46da/df3d508d | 2150617/1241775 | 39711/33740 | 512x448/512x448 | MISMATCH (extra) |
| 6000 | 46002067/db8bfdb | 78af73d9/93236379 | b1d571c/6ed6ed97 | 2192436/1259373 | 40125/34000 | 512x448/512x448 | MISMATCH (extra) |
| 6050 | a813f6de/df3d297d | 87882c37/87882c37 | 531ff107/b230d89e | 2233237/1276552 | 40540/34255 | 512x448/512x448 | MISMATCH (extra) |
| 6100 | 5380cb88/2953898a | 35c1634d/b51bb1ad | 8eb855c5/1467236c | 2275056/1294150 | 40954/34515 | 512x448/512x448 | MISMATCH (extra) |
| 6150 | 81804f67/bddda41b | 43c45e5a/3f332dba | 83ea8f77/448404d5 | 2316876/1311329 | 41373/34770 | 512x448/512x448 | MISMATCH (extra) |
| 6200 | f6e81d84/bce40697 | 1f2f1694/39a30634 | e75dcb54/2334d4db | 2357676/1328927 | 41783/35030 | 512x448/512x448 | MISMATCH (extra) |

gate: 0/26 match on ['vram', 'regs']; extra: 1/97; present-hash mismatches (all matched ticks): 120/123
FIRST MISMATCH tick 100

pk rows A=1974507 B=1972822 compared=1972822: first diff idx 0: A=('40', '3af1a56c', '128', '3') B=('41', '3af1a56c', '128', '3')
csr rows A=25493 B=27178 compared=25493: first diff idx 0: A=('40', '4000', '375d10', '12001000') B=('41', '6000', '375d10', '12001000')
